Date de la mesure;Précipitations en mm;Température Minimale en °C;Température Maximale en °C
10/02/2000;0,5;-1,5;19,9
11/02/2000;0;5,3;15,6
12/02/2000;0;-1,4;13,9
13/02/2000;0;2,1;12,6
14/02/2000;0;2,7;19,9
15/02/2000;0;4,4;20,1
16/02/2000;1;6,7;14
17/02/2000;0;2,7;11,2
18/02/2000;0;-1;14,5
19/02/2000;0;10,3;15,2
20/02/2000;0;2,9;13
21/02/2000;0;-4,4;14
22/02/2000;0;-4,6;13,3
23/02/2000;0;-4,2;16,3
24/02/2000;0;-2,8;17,6
25/02/2000;0;-0,3;19,5
26/02/2000;0;3,1;19,9
27/02/2000;0;0,4;14,9
28/02/2000;0;9,6;12,4
29/02/2000;0;7,8;12,6
01/03/2000;0;7,6;15,7
02/03/2000;0;5,9;14,9
03/03/2000;0;-1,9;18,2
04/03/2000;0;9,9;17,9
05/03/2000;0;1;16,8
06/03/2000;0;-3;15,7
07/03/2000;0;1,8;16,8
08/03/2000;0;2,9;22,5
09/03/2000;0;5,3;27,9
10/03/2000;0;3,5;25,6
11/03/2000;0;3,5;26,2
12/03/2000;0;3,9;23,3
13/03/2000;0;3,6;20,4
14/03/2000;0;6,2;23,7
15/03/2000;0;6,8;17,7
16/03/2000;0;-0,2;20,5
17/03/2000;0;1,4;21,2
18/03/2000;0;3,3;19,8
19/03/2000;0;4,1;12,9
20/03/2000;2,5;5;11
21/03/2000;0;-0,9;15,5
22/03/2000;0;1,5;15,7
23/03/2000;9;8;16,3
24/03/2000;11,5;9;18,3
25/03/2000;0;2,9;16,8
26/03/2000;0;9,4;14,8
27/03/2000;0;6,6;14,2
28/03/2000;1,5;0,5;15,9
29/03/2000;0;1,8;13
30/03/2000;0;0,7;16,4
31/03/2000;2;4,3;10,7
01/04/2000;0;2,8;17,7
02/04/2000;3;4,4;16,7
03/04/2000;7,5;8,4;14,9
04/04/2000;0;8;18,1
05/04/2000;0;9,9;14,2
06/04/2000;0;2;17,5
07/04/2000;0;0,3;19,7
08/04/2000;1;4;17,3
09/04/2000;7;6,8;9,1
10/04/2000;3,5;7,7;12,8
11/04/2000;0;9;18,2
12/04/2000;0;6;16,8
13/04/2000;0;6,9;20
14/04/2000;2,5;7,9;15,6
15/04/2000;0,5;7,3;19,1
16/04/2000;36;10,1;13,9
17/04/2000;0;6,9;18,7
18/04/2000;0;2,6;20,3
19/04/2000;0;8,6;22
20/04/2000;0;3,7;24,6
21/04/2000;0;6,1;26,3
22/04/2000;4;9,5;15,3
23/04/2000;16;10,2;13,6
24/04/2000;0;8,6;20,2
25/04/2000;0;6,6;21,7
26/04/2000;0;12,1;20,9
27/04/2000;15;7,1;16,7
28/04/2000;0;9,1;15,8
29/04/2000;0;6,5;20,6
30/04/2000;0;4,4;21,6
01/05/2000;0;8,6;25,3
02/05/2000;0;10,3;27,7
03/05/2000;0;8,9;25,4
04/05/2000;0;8;24,5
05/05/2000;3,5;9;23,8
06/05/2000;3;13,7;18,1
07/05/2000;11;13,8;19,1
08/05/2000;0;12,6;19,5
09/05/2000;13;12,6;20
10/05/2000;31,5;14,5;18,7
11/05/2000;0;14,9;20,8
12/05/2000;0;9,7;24,1
13/05/2000;0;11,9;27,7
14/05/2000;0;10,9;28,7
15/05/2000;0;10,7;28
16/05/2000;0;10;27,2
17/05/2000;0,5;10,1;24,5
18/05/2000;0;13;23,5
19/05/2000;0;10,1;21,7
20/05/2000;0;6,2;25,9
